Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,DOI,Journal,Affiliation,Is prize-winning paper,field,p-value,Gender,citation_count
10057,"perl, ml",1995,measurement of the b0 and b meson lifetimes with fully reconstructed hadronic final states,2001.0,2104714104.0,10.1103/PhysRevLett.87.201803,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,19.0
10057,"perl, ml",1995,comparison of the particle flow in three jet and radiative two jet events from e e annihilation at ec m 29 gev,1986.0,1979284503.0,10.1103/PhysRevLett.57.1398,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,37.0
10057,"perl, ml",1995,and production ine e annihilation at 29 gev evidence for theds decays into and ,1988.0,1979451663.0,10.1103/PhysRevLett.61.1057,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,43.0
10057,"perl, ml",1995,study ofb landb ldecays and determination of vub,2005.0,2315043233.0,10.1103/PhysRevD.72.051102,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,28.0
10057,"perl, ml",1995,limit on the b0 00 branching fraction and implications for the cabibbo kobayashi maskawa angle ,2005.0,2104938943.0,10.1103/PhysRevLett.94.131801,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,20.0
10057,"perl, ml",1995,search for the decayb0 a1 ,2006.0,2315110038.0,10.1103/PhysRevD.74.031104,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,13.0
10057,"perl, ml",1995,observation of the decayd d0,1977.0,2565829410.0,10.1103/PhysRevLett.38.1313,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,112.0
10057,"perl, ml",1995,measurement of the branching fraction forb c0k,2004.0,2315113129.0,10.1103/PhysRevD.69.051101,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,3.0
10057,"perl, ml",1995,measurement of e e e e and e e mu mu at spear,1975.0,2603473456.0,10.1103/PhysRevLett.34.233,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,104.0
10057,"perl, ml",1995,measurements of branching fractions polarizations and directcp violation asymmetries inb k andb f0 980 k decays,2006.0,2315194868.0,10.1103/PhysRevLett.97.201801,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,42.0
10057,"perl, ml",1995,improved search for elementary particles with fractional electric charge,1996.0,2105519813.0,10.1103/PhysRevD.53.6017,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,13.0
10057,"perl, ml",1995,measurement of the branching fraction and polarization for the decay b d 0k,2004.0,2105636262.0,10.1103/PhysRevLett.92.141801,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
10057,"perl, ml",1995,decay of 3684 into 3095,1975.0,2614470611.0,10.1103/PhysRevLett.34.1181,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,90.0
10057,"perl, ml",1995,search for neutralb meson decays toa0 a0k 0 andf0,2007.0,2315314093.0,10.1103/PhysRevD.75.111102,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,12.0
10057,"perl, ml",1995,time dependent and time integrated angular analysis ofb ks00andk ,2008.0,2604020965.0,10.1103/PhysRevD.78.092008,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,46.0
10057,"perl, ml",1995,three dimensional analysis of a semi elliptical crack emanating from an erosion at the bore of an autofrettaged pressurized cylinder,1999.0,2105883130.0,10.1115/1.2883688,journal of pressure vessel technology transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,1.0
10057,"perl, ml",1995,an improved split ring method for measuring the level of autofrettage in thick walled cylinders,1998.0,2105910771.0,10.1115/1.2841887,journal of pressure vessel technology transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,8.0
10057,"perl, ml",1995,observation of exclusive two body b decays to kaons and pions,1998.0,2106006842.0,10.1103/PhysRevLett.80.3456,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,58.0
10057,"perl, ml",1995,measurement of theb0 k 0decay amplitudes,2004.0,2315415487.0,10.1103/PhysRevLett.93.231804,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,69.0
10057,"perl, ml",1995,nonlinear incompressible finite element for simulating loading of cardiac tissue part i two dimensional formulation for thin myocardial strips,1988.0,1981611165.0,10.1115/1.3108406,journal of biomechanical engineering transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,10.0
10057,"perl, ml",1995,search forcpviolation in the decayd ks0,2011.0,2315447156.0,10.1103/PhysRevD.83.071103,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,23.0
10057,"perl, ml",1995,the effect of a disturbance and its location on the stress intensity factor in the three point bend specimen,1990.0,1981935918.0,10.1016/0013-7944(90)90283-M,engineering fracture mechanics,ben gurion university of the negev,NO,Physics,0.054140127388535,male,1.0
10057,"perl, ml",1995,limits on the production of pointlike charged spin 0 particles in e e annihilations at 29 gev,1982.0,1981987740.0,10.1103/PhysRevLett.49.517,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,24.0
10057,"perl, ml",1995,erratum search forcpviolation in the decay  ks0 o0  phys rev d85 031102 r 2012,2012.0,2612267871.0,10.1103/PhysRevD.85.099904,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,11.0
10057,"perl, ml",1995,observation ofe e   nears 10 58gev,2008.0,2315557193.0,10.1103/PhysRevD.78.071103,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,14.0
10057,"perl, ml",1995,physics with tau leptons,2000.0,2106582099.0,10.1063/1.1292485,physics today,ben gurion university of the negev,NO,Physics,0.054140127388535,male,2.0
10057,"perl, ml",1995,measurement of the branching fractions for the exclusive decays of b 0 and b to d over bar d k,2003.0,2106680173.0,10.1103/PhysRevD.68.092001,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,22.0
10057,"perl, ml",1995,search for the rare decaysb l l andb0 l l,2013.0,2315636169.0,10.1103/PhysRevD.88.032012,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,11.0
10057,"perl, ml",1995,cracks emanating from an erosion in a pressurized autofrettaged thick walled cylinder part ii erosion depth and ellipticity effects,1998.0,1983238939.0,10.1115/1.2842343,journal of pressure vessel technology transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
10057,"perl, ml",1995,measurement of the b xsl l branching fraction with a sum over exclusive modes,2004.0,2107069652.0,10.1103/PhysRevLett.93.081802,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,141.0
